No,;Time;Source;Destination;;Time 1;Time 2;Delay;Total Delay;233,631491;;Delay 1;Delay 2;Jitter;Total Jitter;233,612306
1;0;172,20,10,6;13,89,178,26;;0;0,036838;0,036838;Rata-Rata Delay;0,367923608;;-0,285976;0,322814;0,60879;"Rata"" Jitter";0,367893395
2;0,036838;13,89,178,26;172,20,10,6;;0,036838;0,359652;0,322814;;;;0,322621;0,000193;-0,322428;;
3;0,359652;13,89,178,26;172,20,10,6;;0,359652;0,359845;0,000193;;;;-2,724151;2,724344;5,448495;;
4;0,359845;172,20,10,6;13,89,178,26;;0,359845;3,084189;2,724344;;;;2,679914;0,04443;-2,635484;;
5;3,08418900;172,20,10,6;31,13,95,60;;3,084189;3,128619;0,04443;;;;-0,258718;0,303148;0,561866;;
6;3,12861900;31,13,95,60;172,20,10,6;;3,128619;3,431767;0,303148;;;;0,261368;0,04178;-0,219588;;
7;3,43176700;31,13,95,60;172,20,10,6;;3,431767;3,473547;0,04178;;;;-4,626847;4,668627;9,295474;;
8;3,47354700;172,20,10,6;31,13,95,60;;3,473547;8,142174;4,668627;;;;4,61905;0,049577;-4,569473;;
16;8,14217400;103,10,124,162;172,20,10,6;;8,142174;8,191751;0,049577;;;;-0,261023;0,3106;0,571623;;
17;8,19175100;172,20,10,6;103,10,124,162;;8,191751;8,502351;0,3106;;;;0,280499;0,030101;-0,250398;;
18;8,50235100;172,20,10,6;20,197,71,89;;8,502351;8,532452;0,030101;;;;-0,011377;0,041478;0,052855;;
19;8,53245200;20,197,71,89;172,20,10,6;;8,532452;8,57393;0,041478;;;;-0,00835;0,049828;0,058178;;
20;8,57393000;20,197,71,89;172,20,10,6;;8,57393;8,623758;0,049828;;;;-0,185401;0,235229;0,42063;;
21;8,62375800;172,20,10,6;20,197,71,89;;8,623758;8,858987;0,235229;;;;0,234903;0,000326;-0,234577;;
22;8,85898700;114,125,16,106;172,20,10,6;;8,858987;8,859313;0,000326;;;;0,000156;0,00017;1,4E-05;;
23;8,85931300;114,125,16,106;172,20,10,6;;8,859313;8,859483;0,00017;;;;3,7E-05;0,000133;9,6E-05;;
24;8,85948300;172,20,10,6;114,125,16,106;;8,859483;8,859616;0,000133;;;;-0,024912;0,025045;0,049957;;
25;8,85961600;172,20,10,6;114,125,16,106;;8,859616;8,884661;0,025045;;;;-0,397983;0,423028;0,821011;;
26;8,88466100;114,125,16,106;172,20,10,6;;8,884661;9,307689;0,423028;;;;0,389231;0,033797;-0,355434;;
27;9,30768900;172,20,10,6;155,133,239,51;;9,307689;9,341486;0,033797;;;;-14,674399;14,708196;29,382595;;
28;9,34148600;155,133,239,51;172,20,10,6;;9,341486;24,049682;14,708196;;;;14,65724;0,050956;-14,606284;;
43;24,04968200;172,20,10,6;103,10,124,162;;24,049682;24,100638;0,050956;;;;-1,225045;1,276001;2,501046;;
